Location,Latitude,Longitude
DHA Phase 1,24.843090818190806,67.06530821603737
DHA Phase 2,24.834343822770723,67.05550093542712
DHA Phase 4,24.82442760245617,67.0611718604972
DHA Phase 5,24.808770762190218,67.04732027884975
DHA Phase 6,24.79692965027891,67.0561913952255
DHA Phase 7,24.816139349430987,67.07335192830854
DHA Phase 8,24.77472956707772,67.07897764299345
Clifton Block 1,24.81561788412851,66.99942873903306
Clifton Block 2,24.812437892753177,67.01330941017744
Clifton Block 3,24.81097954424737,67.02377587956462
Clifton Block 4,24.80584125671527,67.03080449113018
Clifton Block 5,24.82001343839754,67.0276872736536
Clifton Block 6,24.821110108299713,67.01803268910723
Clifton Block 7,24.83037684093183,67.02752480256875
Clifton Block 8,24.830093846612073,67.03950584195447
Clifton Block 9,24.82530020763391,67.03930587584475
Gulshan e Iqbal Block 1,24.920334961560457,67.08254863405375
Gulshan e Iqbal Block 2,24.923643042952378,67.08682024210239
Gulshan e Iqbal Block 3,24.928728045645016,67.09260857956832
Gulshan e Iqbal Block 4,24.93516925823548,67.10006661861807
Gulshan e Iqbal Block 5,24.917339835220595,67.09239296344153
Gulshan e Iqbal Block 6,24.923776463471036,67.09731456904935
Gulshan e Iqbal Block 7,24.939430890137576,67.1633703478906
Gulshan e Iqbal Block 8,24.9058269986336,67.08516803541578
Gulshan e Iqbal Block 9,24.909557115758915,67.09178496740621
Gulshan e Iqbal Block 10,24.912666165588387,67.09852576370062
Gulshan e Iqbal Block 11,24.91425844429158,67.10759264521533
North Nazimabad Block A,24.932530926060714,67.03020036448441
North Nazimabad Block B,24.92544863934095,67.03915892111483
North Nazimabad Block C,24.936557647654595,67.03700267552017
North Nazimabad Block D,24.942709474115848,67.04183098821574
North Nazimabad Block E,24.938039222035673,67.04126138107873
North Nazimabad Block F,24.929358845348315,67.0445881174097
North Nazimabad Block G,24.934164238568066,67.04705732534265
North Nazimabad Block H,24.9382757723734,67.04825558352827
North Nazimabad Block I,24.948778744558464,67.04467868802455
North Nazimabad Block J,24.953350805715147,67.04868116414949
North Nazimabad Block K,24.948957414181574,67.0503356977325
North Nazimabad Block L,24.941992636739737,67.05328323158913
North Nazimabad Block M,24.94543960599483,67.05657776422643
North Nazimabad Block N,24.948014380768562,67.06001467438928
Gulistan e Johar Block 1,24.927488587860005,67.12232900816308
Gulistan e Johar Block 2,24.9297853982877,67.1305571270565
Gulistan e Johar Block 3,24.925794678590307,67.13219234543297
Gulistan e Johar Block 4,24.935961161650557,67.14849152515292
Gulistan e Johar Block 5,24.929193065658904,67.14408428894964
Gulistan e Johar Block 6,24.938102070518397,67.14400856408261
Gulistan e Johar Block 7,24.93501216732104,67.1524280107475
Gulistan e Johar Block 8,24.931861062191096,67.15683007309543
Gulistan e Johar Block 9,24.928097186506665,67.15225964509794
Gulistan e Johar Block 10,24.924938102431483,67.14059020837236
Gulistan e Johar Block 11,24.91930338297631,67.14018943037892
Gulistan e Johar Block 12,24.93208226658248,67.13381921756252
Malir Cantt,24.957017890456417,67.22168087898773
Saudabad Malir,24.893733939859665,67.19408939730897
Malir Town Residency Phase 1,24.911815782722503,67.23361237777551
Malir Town Residency Phase 2,24.930410477142203,67.23947146056297
